k_nummer,bef_2007,bef_2009,bef_2013,bef_2017,bef_vekst_4,bef_vekst_8,bef_vekst_10
0237,19334,20321,22142,24415,0.10265558666787111,0.20146646326460305,0.2628012827143891
0238,10536,10800,11505,12657,0.10013037809647973,0.17194444444444446,0.20130979498861046
0239,2594,2621,2685,2910,0.08379888268156432,0.11026325829835937,0.12181958365458745
0301,548617,575475,623966,666759,0.06858226249507182,0.15862374560145964,0.21534513148517087
0402,17236,17326,17638,17857,0.012416373738519004,0.03064758166916781,0.03602924112323036
0403,27909,28211,29353,30598,0.04241474465983042,0.08461238523979997,0.0963488480418504
0412,31974,32402,33406,33842,0.013051547626174997,0.04444170112955992,0.058422468255457494
0415,7292,7255,7479,7633,0.020590988100013474,0.05210199862164022,0.04676357652221608
0417,18642,18982,19407,20317,0.04689029731540173,0.07032978611315976,0.08985087436970285
0418,5055,5098,5190,5100,-0.017341040462427793,3.923107100822776e-4,0.008902077151335286
0419,7754,7795,7806,7866,0.00768639508070712,0.00910840282232206,0.014444157854010875
0420,6385,6394,6282,6127,-0.024673670805476,-0.04175789802940255,-0.040407204385278006
0423,5152,5080,4997,4777,-0.044026415849509726,-0.05964566929133863,-0.07278726708074534
0425,7604,7610,7600,7329,-0.03565789473684211,-0.03692509855453352,-0.036165176223040496
0426,3877,3869,3826,3743,-0.021693674856246736,-0.03256655466528824,-0.03456280629352593
0427,19260,19687,20343,21086,0.036523619918399364,0.07106212221262753,0.09480789200415374
0428,6782,6749,6689,6550,-0.020780385707878657,-0.029485849755519378,-0.03420819817163079
0429,4284,4280,4387,4518,0.029860952815135677,0.05560747663551391,0.054621848739495826
0430,2705,2689,2641,2530,-0.04202953426732303,-0.05912978802528823,-0.06469500924214422
0432,2055,2014,1910,1858,-0.027225130890052407,-0.07745779543197617,-0.09586374695863742
0434,1460,1436,1376,1274,-0.0741279069767442,-0.11281337047353757,-0.12739726027397258
0436,1707,1678,1681,1620,-0.03628792385484836,-0.03456495828367101,-0.05096660808435849
0437,5371,5400,5570,5584,0.0025134649910232287,0.034074074074074145,0.039657419474958155
0438,2430,2399,2449,2441,-0.0032666394446713154,0.017507294706127663,0.004526748971193317
0439,1695,1671,1654,1577,-0.04655380894800487,-0.05625374027528429,-0.06961651917404132
0441,2063,2046,2035,1963,-0.03538083538083536,-0.040566959921798595,-0.04847309743092587
0501,25537,26104,26850,27781,0.03467411545623844,0.06424302788844627,0.08787249872733671
0502,27931,28611,29407,30319,0.031013024109905807,0.05969731921289023,0.08549640184740959
0511,2812,2772,2727,2675,-0.019068573524019028,-0.03499278499278502,-0.04871977240398295
0512,2150,2170,2145,2048,-0.04522144522144522,-0.05622119815668203,-0.047441860465116226
0513,2329,2307,2279,2202,-0.03378674857393593,-0.04551365409622887,-0.05452984113353365
0514,2436,2406,2364,2360,-0.0016920473773265332,-0.019118869492934287,-0.031198686371100126
0515,3724,3707,3716,3640,-0.020452099031216364,-0.01807391421634741,-0.022556390977443663
0516,5790,5800,5827,5723,-0.01784794920199073,-0.013275862068965472,-0.011571675302245232
0517,6099,6015,5952,5916,-0.006048387096774244,-0.016458852867830442,-0.030004918839153905
0519,3199,3183,3193,3163,-0.00939555277168802,-0.006283380458686816,-0.011253516723976231
