Folkemengde og endringer, etter region, tid  og  statistikkvariabel;;;;
;;;;
 ;2007;2009;2013;2017
 ;Folkemengde;Folkemengde;Folkemengde;Folkemengde
Siljan;2362;2404;2426;2357
Gjerpen (-1963);0;0;0;0
Eidanger (-1963);0;0;0;0
Bamble;14061;14097;14129;14138
Kragerø;10481;10620;10700;10586
Skåtøy (-1959);0;0;0;0
Sannidal (-1959);0;0;0;0
Drangedal;4136;4138;4139;4148
Solum (-1963);0;0;0;0
Nome;6576;6557;6625;6585
Holla (-1963);0;0;0;0
Lunde (-1963);0;0;0;0
Bø (Telem.);5333;5518;5791;6262
Sauherad;4277;4274;4369;4303
Heddal (-1963);0;0;0;0
Gransherad (-1963);0;0;0;0
Hovin (-1963);0;0;0;0
Tinn;6120;6010;5973;5894
Hjartdal;1619;1613;1609;1593
Seljord;2933;2925;2945;2979
Kviteseid;2542;2546;2507;2442
Nissedal;1375;1393;1430;1476
Fyresdal;1363;1379;1350;1319
Mo (-1963);0;0;0;0
Tokke;2414;2363;2284;2228
Lårdal (-1963);0;0;0;0
Vinje;3684;3662;3721;3726
Rauland (-1963);0;0;0;0
Risør;6873;6889;6848;6936
Tvedestrand (-1959);0;0;0;0
Arendal (-1991);0;0;0;0
Grimstad;19536;20111;21594;22692
Lillesand (-1961);0;0;0;0
Arendal;40057;41241;43336;44576
Gjerstad;2513;2496;2484;2511
Vegårshei;1864;1881;1986;2104
Søndeled (-1963);0;0;0;0
Tvedestrand;5822;5939;6064;6051
Dypvåg (-1959);0;0;0;0
Flosta (-1961);0;0;0;0
Stokken (1919-1961);0;0;0;0
Moland (1962-1991);0;0;0;0
Austre Moland (-1961);0;0;0;0
Froland;4759;4896;5425;5713
Øyestad (-1991);0;0;0;0
Tromøy (-1991);0;0;0;0
Hisøy (-1991);0;0;0;0
Fjære (-1970);0;0;0;0
Landvik (-1970);0;0;0;0
Eide (-1961);0;0;0;0
Lillesand;9109;9329;10032;10702
Vestre Moland (-1961);0;0;0;0
Høvåg (-1961);0;0;0;0
Birkenes;4411;4608;4936;5178
Åmli;1815;1855;1815;1856
Gjøvdal (1908-1959);0;0;0;0
Tovdal (1908-1966);0;0;0;0
Mykland (-1966);0;0;0;0
Herefoss (-1966);0;0;0;0
Vegusdal (-1966);0;0;0;0
Iveland;1191;1224;1283;1342
Hornnes (-1959);0;0;0;0
Evje og Hornnes;3315;3408;3556;3614
Evje (-1959);0;0;0;0
Bygland;1272;1225;1207;1200
Hylestad (1915-1961);0;0;0;0
Valle;1320;1292;1277;1246
Bykle;902;965;929;952
Kristiansand;77840;80109;84476;89268
Mandal;14200;14543;15237;15600
Farsund;9386;9427;9441;9769
Flekkefjord;8860;8975;9060;9090
Randesund (-1964);0;0;0;0
Oddernes (-1964);0;0;0;0
Tveit (-1964);0;0;0;0
Vennesla;12555;12886;13756;14425
Hægeland (-1963);0;0;0;0
Øvrebø (-1963);0;0;0;0
Songdalen;5664;5804;6285;6568
Greipstad (1913-1963);0;0;0;0
Søgne;9743;10417;10960;11321
Halse og Harkmark (-1963);0;0;0;0
Holum (-1963);0;0;0;0
Marnardal;2147;2223;2292;2309
Øyslebø (-1963);0;0;0;0
Laudal (-1963);0;0;0;0
Finsland (-1963);0;0;0;0
Bjelland (-1963);0;0;0;0
Grindheim (-1963);0;0;0;0
Åseral;893;914;912;937
Audnedal;1595;1630;1728;1765
Konsmo (1911-1963);0;0;0;0
Vigmostad (1911-1963);0;0;0;0
Lindesnes;4520;4620;4796;4950
Sør-Audnedal (-1963);0;0;0;0
Spangereid (-1963);0;0;0;0
Austad (1909-1962);0;0;0;0
Lyngdal;7368;7636;8011;8588
Kvås (1909-1962);0;0;0;0
Hægebostad;1599;1620;1669;1702
Eiken (1916-1962);0;0;0;0
Fjotland (-1962);0;0;0;0
Kvinesdal;5595;5690;5899;5988
Feda (-1962);0;0;0;0
Herad (-1964);0;0;0;0
Spind (-1964);0;0;0;0
Lista (-1964);0;0;0;0
Hidra (-1964);0;0;0;0
Nes (-1964);0;0;0;0
Gyland (-1964);0;0;0;0
Bakke (-1964);0;0;0;0
Sirdal;1737;1739;1831;1836
Tonstad (-1959);0;0;0;0
Øvre Sirdal (-1959);0;0;0;0
Eigersund;13594;13969;14636;14899
Egersund (-1964);0;0;0;0
Sandnes;60507;63431;70046;75497
Stavanger;117315;121610;129191;132729
Skudeneshavn (-1964);0;0;0;0
Kopervik (-1964);0;0;0;0
Haugesund;32303;33665;35753;37166
Sokndal;3266;3246;3286;3316
Lund;3120;3111;3173;3259
Heskestad (-1964);0;0;0;0
Bjerkreim;2507;2580;2779;2826
Helleland (-1964);0;0;0;0
Eigersund (-1964);0;0;0;0
Ogna (-1963);0;0;0;0
Varhaug (-1963);0;0;0;0
Hå;15072;15949;17635;18800
Nærbø (-1963);0;0;0;0
Klepp;15271;16350;18227;19042
Time;15048;15836;17437;18656
Gjesdal;9621;9969;11039;11902
Gjestal (-1964);0;0;0;0
Høyland (-1964);0;0;0;0
Sola;20666;22076;24579;26016
Madla (1930-1964);0;0;0;0
Hetland (-1964);0;0;0;0
Randaberg;9501;9867;10397;10873
Høle (-1964);0;0;0;0
Forsand;1103;1134;1227;1245
Strand;10654;11045;11882;12662
Årdal (-1964);0;0;0;0
Fister (-1964);0;0;0;0
Hjelmeland;2707;2701;2799;2708
Suldal;3874;3833;3872;3853
Sauda;4732;4730;4745;4760
Sand (-1964);0;0;0;0
Erfjord (1914-1964);0;0;0;0
Jelsa (-1964);0;0;0;0
Nedstrand (-1964);0;0;0;0
Sjernarøy (-1964);0;0;0;0
Finnøy;2672;2790;3015;3235
Rennesøy;3526;3888;4619;4892
Mosterøy (-1964);0;0;0;0
Kvitsøy;527;542;528;534
Bokn;793;811;865;855
Tysvær;9513;9712;10487;11041
Avaldsnes (-1964);0;0;0;0
Stangaland (-1964);0;0;0;0
Karmøy;38349;39354;41118;42229
Åkra (-1964);0;0;0;0
Skudenes (-1964);0;0;0;0
Utsira;214;214;209;201
Torvastad (-1964);0;0;0;0
Skåre (-1957);0;0;0;0
Vindafjord (1965-2005);0;0;0;0
Skjold (-1964);0;0;0;0
Vats (-1964);0;0;0;0
Imsland (-1964);0;0;0;0
Vikedal (-1964);0;0;0;0
Sandeid (-1964);0;0;0;0
Ølen (2002-2005);0;0;0;0
Vindafjord;8111;8161;8615;8828
Bergen;244620;252051;267950;278556
Etne;3858;3854;4040;4135
Skånevik (-1964);0;0;0;0
Fjelberg (-1964);0;0;0;0
Ølen (-2001);0;0;0;0
Vikebygd (-1963);0;0;0;0
Sveio;4764;4906;5400;5656
Valestrand (-1963);0;0;0;0
Moster (1916-1962);0;0;0;0
Bømlo;10892;11085;11638;11806
Bremnes (1916-1962);0;0;0;0
Stord;16850;17289;18161;18821
Fitjar;2897;2908;2980;3189
Tysnes;2753;2792;2736;2847
Kvinnherad;13032;13112;13305;13241
