"Folkemengde og endringer, etter region, tid og statistikkvariabel"

"0922";0;0;0;0
"0923";0;0;0;0
"0924";0;0;0;0
"0925";0;0;0;0
"0926";9109;9329;10032;10702
"0926u";0;0;0;0
"0927";0;0;0;0
"0928";4411;4608;4936;5178
"0929";1815;1855;1815;1856
"0930";0;0;0;0
"0931";0;0;0;0
"0932";0;0;0;0
"0933";0;0;0;0
"0934";0;0;0;0
"0935";1191;1224;1283;1342
"0936";0;0;0;0
"0937";3315;3408;3556;3614
"0937u";0;0;0;0
"0938";1272;1225;1207;1200
"0939";0;0;0;0
"0940";1320;1292;1277;1246
"0941";902;965;929;952
"1001";77840;80109;84476;89268
"1002";14200;14543;15237;15600
"1003";9386;9427;9441;9769
"1004";8860;8975;9060;9090
"1011";0;0;0;0
"1012";0;0;0;0
"1013";0;0;0;0
"1014";12555;12886;13756;14425
"1015";0;0;0;0
"1016";0;0;0;0
"1017";5664;5804;6285;6568
"1017u";0;0;0;0
"1018";9743;10417;10960;11321
"1019";0;0;0;0
"1020";0;0;0;0
"1021";2147;2223;2292;2309
"1021u";0;0;0;0
"1022";0;0;0;0
"1023";0;0;0;0
"1024";0;0;0;0
"1025";0;0;0;0
"1026";893;914;912;937
"1027";1595;1630;1728;1765
"1027u";0;0;0;0
"1028";0;0;0;0
"1029";4520;4620;4796;4950
"1029u";0;0;0;0
"1030";0;0;0;0
"1031";0;0;0;0
"1032";7368;7636;8011;8588
"1033";0;0;0;0
"1034";1599;1620;1669;1702
"1035";0;0;0;0
"1036";0;0;0;0
"1037";5595;5690;5899;5988
"1038";0;0;0;0
"1039";0;0;0;0
"1040";0;0;0;0
"1041";0;0;0;0
"1042";0;0;0;0
"1043";0;0;0;0
"1044";0;0;0;0
"1045";0;0;0;0
"1046";1737;1739;1831;1836
"1046u";0;0;0;0
"1047";0;0;0;0
"1101";13594;13969;14636;14899
"1101u";0;0;0;0
"1102";60507;63431;70046;75497
"1103";117315;121610;129191;132729
"1104";0;0;0;0
"1105";0;0;0;0
"1106";32303;33665;35753;37166
"1111";3266;3246;3286;3316
"1112";3120;3111;3173;3259
"1113";0;0;0;0
"1114";2507;2580;2779;2826
"1115";0;0;0;0
"1116";0;0;0;0
"1117";0;0;0;0
"1118";0;0;0;0
"1119";15072;15949;17635;18800
"1119u";0;0;0;0
"1120";15271;16350;18227;19042
"1121";15048;15836;17437;18656
"1122";9621;9969;11039;11902
"1122u";0;0;0;0
"1123";0;0;0;0
"1124";20666;22076;24579;26016
"1125";0;0;0;0
"1126";0;0;0;0
"1127";9501;9867;10397;10873
"1128";0;0;0;0
"1129";1103;1134;1227;1245
"1130";10654;11045;11882;12662
"1131";0;0;0;0
"1132";0;0;0;0
"1133";2707;2701;2799;2708
"1134";3874;3833;3872;3853
"1135";4732;4730;4745;4760
"1136";0;0;0;0
